CoC Number,CoC Name,Overall.Total,Children & Youth Under 18,Youth 18 to 24,Youth & People 25 to 34,People 35 to 44,People 45 to 54,People 55 to 64,People Over 64,Women,Men,Transgender,Nonbinary,Gender Questioning,Non-Latino & Non-Hispanic,Latino,White,Black,Asian,Indigenous,Native Hawiian or Pacific Islander,Multiracial,Emergency Shelter,Transitional Housing Shelter,Safe Haven,In Shelter,Unsheltered,Year
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",438,97,44,NA,NA,NA,NA,NA,206,230,2,0,NA,423,15,305,105,0,8,0,20,293,18,0,311,127,2019
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",492,105,46,NA,NA,NA,NA,NA,219,270,2,1,NA,456,36,372,66,5,14,2,33,368,43,0,411,81,2019
MO-602,"Joplin/Jasper, Newton Counties CoC",237,35,8,NA,NA,NA,NA,NA,75,161,0,1,NA,232,5,212,15,0,3,0,7,122,66,0,188,49,2019
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",255,55,16,NA,NA,NA,NA,NA,121,134,0,0,NA,241,14,187,33,1,9,4,21,134,68,16,218,37,2019
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",1979,448,89,NA,NA,NA,NA,NA,791,1179,3,6,NA,1851,128,849,965,6,16,10,133,1214,431,14,1659,320,2019
MO-606,Missouri Balance of State CoC,1362,298,123,NA,NA,NA,NA,NA,704,651,4,3,NA,1282,80,987,284,5,17,4,65,797,198,8,1003,359,2019
MP-500,Northern Mariana Islands CoC,1807,586,191,NA,NA,NA,NA,NA,837,970,0,0,NA,1807,0,1,1,494,0,1281,30,20,0,0,20,1787,2019
MS-500,"Jackson/Rankin, Madison Counties CoC",408,47,19,NA,NA,NA,NA,NA,124,269,0,15,NA,407,1,142,249,0,0,0,17,143,159,0,302,106,2019
MS-501,Mississippi Balance of State CoC,480,67,30,NA,NA,NA,NA,NA,181,299,0,0,NA,458,22,220,250,0,1,0,9,210,81,0,291,189,2019
MS-503,Gulf Port/Gulf Coast Regional CoC,296,38,6,NA,NA,NA,NA,NA,112,184,0,0,NA,291,5,199,75,6,5,1,10,62,43,0,105,191,2019
MT-500,Montana Statewide CoC,1357,250,111,NA,NA,NA,NA,NA,555,793,4,5,NA,1211,146,905,36,8,234,12,162,755,257,0,1012,345,2019
NC-500,Winston-Salem/Forsyth County CoC,454,47,31,NA,NA,NA,NA,NA,105,349,0,0,NA,434,20,160,279,0,3,0,12,378,52,0,430,24,2019
NC-501,Asheville/Buncombe County CoC,580,29,27,NA,NA,NA,NA,NA,149,428,0,3,NA,568,12,364,165,0,8,0,43,287,215,0,502,78,2019
NC-502,Durham City & County CoC,361,69,21,NA,NA,NA,NA,NA,111,250,0,0,NA,349,12,68,276,0,3,2,12,236,44,0,280,81,2019
NC-503,North Carolina Balance of State CoC,2989,464,206,NA,NA,NA,NA,NA,1257,1727,2,3,NA,2868,121,1696,1112,12,47,7,115,1716,423,0,2139,850,2019
NC-504,"Greensboro, High Point CoC",586,93,25,NA,NA,NA,NA,NA,173,413,0,0,NA,563,23,126,420,1,5,0,34,459,66,0,525,61,2019
NC-505,Charlotte/Mecklenberg CoC,1742,342,85,NA,NA,NA,NA,NA,730,1007,4,1,NA,1675,67,286,1402,8,8,5,33,1237,309,0,1546,196,2019
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",431,60,17,NA,NA,NA,NA,NA,154,276,1,0,NA,404,27,272,134,0,3,2,20,205,64,0,269,162,2019
NC-507,Raleigh/Wake County CoC,970,193,47,NA,NA,NA,NA,NA,358,604,5,3,NA,926,44,289,623,6,8,1,43,554,180,0,734,236,2019
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",324,59,19,NA,NA,NA,NA,NA,146,178,0,0,NA,315,9,221,92,0,0,0,11,213,39,0,252,72,2019
NC-511,Fayetteville/Cumberland County CoC,329,70,10,NA,NA,NA,NA,NA,136,193,0,0,NA,310,19,104,205,0,9,2,9,30,73,0,103,226,2019
NC-513,Chapel Hill/Orange County CoC,131,17,1,NA,NA,NA,NA,NA,42,89,0,0,NA,126,5,50,67,3,0,0,11,51,51,0,102,29,2019
NC-516,Northwest North Carolina CoC,417,110,43,NA,NA,NA,NA,NA,215,202,0,0,NA,365,52,356,57,1,0,0,3,129,35,0,164,253,2019
ND-500,North Dakota Statewide CoC,557,127,74,NA,NA,NA,NA,NA,178,378,1,0,NA,475,82,322,90,1,101,7,36,391,124,30,545,12,2019
NE-500,Nebraska Balance of State CoC,506,123,56,NA,NA,NA,NA,NA,233,271,1,1,NA,407,99,438,26,1,23,1,17,244,242,0,486,20,2019
NE-501,"Omaha, Council Bluffs CoC",1410,182,86,NA,NA,NA,NA,NA,436,972,2,0,NA,1283,127,892,385,9,31,3,90,964,377,23,1364,46,2019
NE-502,Lincoln CoC,449,118,43,NA,NA,NA,NA,NA,197,251,1,0,NA,414,35,250,135,3,19,0,42,326,79,0,405,44,2019
NH-500,New Hampshire Balance of State CoC,669,155,62,NA,NA,NA,NA,NA,309,351,1,8,NA,624,45,580,29,2,1,3,54,491,83,0,574,95,2019
NH-501,Manchester CoC,461,113,43,NA,NA,NA,NA,NA,207,251,2,1,NA,399,62,366,48,2,3,2,40,227,181,2,410,51,2019
NH-502,Nashua/Hillsborough County CoC,266,84,12,NA,NA,NA,NA,NA,110,156,0,0,NA,208,58,226,23,5,1,1,10,104,156,3,263,3,2019
NJ-500,Atlantic City & County CoC,357,18,37,NA,NA,NA,NA,NA,98,259,0,0,NA,308,49,165,168,8,4,2,10,207,54,0,261,96,2019
NJ-501,Bergen County CoC,271,67,19,NA,NA,NA,NA,NA,128,142,1,0,NA,196,75,160,92,10,3,1,5,147,120,0,267,4,2019
NJ-502,Burlington County CoC,518,172,35,NA,NA,NA,NA,NA,261,256,1,0,NA,470,48,184,289,3,2,4,36,408,87,0,495,23,2019
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",979,124,70,NA,NA,NA,NA,NA,355,622,2,0,NA,842,137,467,480,2,6,8,16,622,138,0,760,219,2019
NJ-504,Newark/Essex County CoC,2235,525,209,NA,NA,NA,NA,NA,949,1277,8,1,NA,1897,338,391,1787,2,26,16,13,1378,519,0,1897,338,2019
NJ-506,"Jersey City, Bayonne/Hudson County CoC",890,98,41,NA,NA,NA,NA,NA,286,603,1,0,NA,598,292,387,480,11,5,1,6,591,32,0,623,267,2019
NJ-507,New Brunswick/Middlesex County CoC,620,158,47,NA,NA,NA,NA,NA,253,367,0,0,NA,384,236,299,274,4,4,2,37,467,18,0,485,135,2019
NJ-508,Monmouth County CoC,359,94,26,NA,NA,NA,NA,NA,145,214,0,0,NA,270,89,190,149,1,1,2,16,172,133,0,305,54,2019
NJ-509,Morris County CoC,388,88,34,NA,NA,NA,NA,NA,149,238,1,0,NA,326,62,282,90,3,4,0,9,205,122,19,346,42,2019
NJ-510,Lakewood Township/Ocean County CoC,305,77,41,NA,NA,NA,NA,NA,138,164,2,1,NA,253,52,201,86,0,2,2,14,226,49,0,275,30,2019
NJ-511,Paterson/Passaic County CoC,391,64,25,NA,NA,NA,NA,NA,168,222,1,0,NA,262,129,179,181,3,8,12,8,244,30,0,274,117,2019
NJ-512,Salem County CoC,29,14,0,NA,NA,NA,NA,NA,16,13,0,0,NA,22,7,7,22,0,0,0,0,9,20,0,29,0,2019
NJ-513,Somerset County CoC,301,75,38,NA,NA,NA,NA,NA,131,170,0,0,NA,261,40,139,141,9,0,0,12,112,183,0,295,6,2019
NJ-514,Trenton/Mercer County CoC,448,78,30,NA,NA,NA,NA,NA,140,308,0,0,NA,352,96,146,287,3,3,1,8,264,100,0,364,84,2019
NJ-515,Elizabeth/Union County CoC,437,121,38,NA,NA,NA,NA,NA,208,229,0,0,NA,325,112,104,306,4,7,0,16,294,104,0,398,39,2019
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",334,58,24,NA,NA,NA,NA,NA,154,180,0,0,NA,305,29,244,81,2,2,0,5,188,118,0,306,28,2019
NM-500,Albuquerque CoC,1524,207,99,NA,NA,NA,NA,NA,503,1005,14,2,NA,898,626,941,108,15,386,15,59,735,222,0,957,567,2019
NM-501,New Mexico Balance of State CoC,1717,308,118,NA,NA,NA,NA,NA,775,925,5,12,NA,981,736,901,84,2,456,12,262,881,144,0,1025,692,2019
NV-500,Las Vegas/Clark County CoC,5530,516,916,NA,NA,NA,NA,NA,1586,3916,28,0,NA,4797,733,2973,2046,126,131,45,209,1670,524,19,2213,3317,2019
NV-501,"Reno, Sparks/Washoe County CoC",1256,110,91,NA,NA,NA,NA,NA,365,887,3,1,NA,1057,199,953,161,18,51,14,59,630,400,0,1030,226,2019
NV-502,Nevada Balance of State CoC,383,30,18,NA,NA,NA,NA,NA,144,239,0,0,NA,367,16,371,3,0,3,0,6,108,11,0,119,264,2019
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",849,166,104,NA,NA,NA,NA,NA,298,549,2,0,NA,690,159,329,463,4,0,1,52,683,121,10,814,35,2019
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",240,68,19,NA,NA,NA,NA,NA,113,127,0,0,NA,239,1,199,31,1,1,1,7,177,56,0,233,7,2019
NY-503,Albany City & County CoC,750,143,40,NA,NA,NA,NA,NA,205,542,3,0,NA,643,107,294,388,8,7,2,51,580,136,0,716,34,2019
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",732,113,80,NA,NA,NA,NA,NA,269,458,5,0,NA,658,74,387,263,2,9,8,63,574,145,0,719,13,2019
NY-507,Schenectady City & County CoC,372,76,27,NA,NA,NA,NA,NA,155,217,0,0,NA,307,65,164,140,1,1,0,66,300,50,0,350,22,2019
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",924,262,64,NA,NA,NA,NA,NA,401,519,1,3,NA,825,99,387,452,3,10,3,69,646,229,16,891,33,2019
NY-510,Ithaca/Tompkins County CoC,171,29,32,NA,NA,NA,NA,NA,73,98,0,0,NA,157,14,100,47,0,2,0,22,149,22,0,171,0,2019
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",318,36,40,NA,NA,NA,NA,NA,96,222,0,0,NA,307,11,279,30,4,2,0,3,256,53,0,309,9,2019
NY-512,Troy/Rensselaer County CoC,199,52,19,NA,NA,NA,NA,NA,96,100,3,0,NA,166,33,76,114,1,0,2,6,171,18,0,189,10,2019
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",205,44,15,NA,NA,NA,NA,NA,86,119,0,0,NA,178,27,157,47,0,1,0,0,148,56,0,204,1,2019
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",96,32,13,NA,NA,NA,NA,NA,46,50,0,0,NA,60,36,83,10,0,0,0,3,29,67,0,96,0,2019
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",168,30,25,NA,NA,NA,NA,NA,69,96,2,1,NA,154,14,114,39,2,1,2,10,122,32,0,154,14,2019
NY-519,"Columbia, Greene Counties CoC",200,57,18,NA,NA,NA,NA,NA,99,99,2,0,NA,181,19,125,55,0,0,0,20,191,5,0,196,4,2019
NY-520,"Franklin, Essex Counties CoC",24,1,2,NA,NA,NA,NA,NA,7,17,0,0,NA,23,1,20,0,2,2,0,0,17,4,0,21,3,2019
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",53,7,9,NA,NA,NA,NA,NA,28,25,0,0,NA,53,0,44,6,0,1,0,2,35,14,0,49,4,2019
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",268,41,36,NA,NA,NA,NA,NA,106,162,0,0,NA,237,31,201,50,5,3,0,9,239,22,0,261,7,2019
NY-525,New York Balance of State Continuum of Care,527,140,56,NA,NA,NA,NA,NA,220,306,0,1,NA,450,77,421,54,0,7,1,44,510,12,0,522,5,2019
NY-600,New York City CoC,78604,24725,7316,NA,NA,NA,NA,NA,36904,41302,379,19,NA,50235,28369,14736,58170,1052,269,913,3464,72123,2819,40,74982,3622,2019
NY-601,Poughkeepsie/Dutchess County CoC,533,168,39,NA,NA,NA,NA,NA,263,269,0,1,NA,451,82,247,261,0,1,2,22,361,162,0,523,10,2019
NY-602,"Newburgh, Middletown/Orange County CoC",589,224,74,NA,NA,NA,NA,NA,266,323,0,0,NA,464,125,265,245,0,0,0,79,488,50,0,538,51,2019
NY-603,"Nassau, Suffolk Counties CoC",3843,1656,240,NA,NA,NA,NA,NA,2006,1836,1,0,NA,3114,729,1388,2186,33,35,11,190,3584,180,33,3797,46,2019
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1812,732,130,NA,NA,NA,NA,NA,898,913,1,0,NA,1341,471,532,1238,5,12,3,22,1100,680,0,1780,32,2019
NY-606,Rockland County CoC,182,21,9,NA,NA,NA,NA,NA,63,118,1,0,NA,145,37,94,65,1,0,0,22,103,36,0,139,43,2019
NY-608,Kingston/Ulster County CoC,432,162,37,NA,NA,NA,NA,NA,213,218,1,0,NA,379,53,289,96,9,6,0,32,381,9,0,390,42,2019
OH-500,Cincinnati/Hamilton County CoC,1082,208,89,NA,NA,NA,NA,NA,356,721,4,1,NA,1069,13,405,639,1,2,0,35,865,155,31,1051,31,2019
OH-501,Toledo/Lucas County CoC,611,160,23,NA,NA,NA,NA,NA,270,341,0,0,NA,566,45,261,305,0,5,0,40,503,84,12,599,12,2019
OH-502,Cleveland/Cuyahoga County CoC,1618,269,121,NA,NA,NA,NA,NA,519,1091,8,0,NA,1539,79,405,1172,6,4,3,28,1409,63,40,1512,106,2019
OH-503,Columbus/Franklin County CoC,1907,354,191,NA,NA,NA,NA,NA,756,1144,6,1,NA,1836,71,561,1213,4,6,4,119,1447,78,0,1525,382,2019
OH-504,Youngstown/Mahoning County CoC,148,28,6,NA,NA,NA,NA,NA,31,117,0,0,NA,139,9,83,56,0,0,1,8,133,6,0,139,9,2019
OH-505,"Dayton, Kettering/Montgomery County CoC",681,86,94,NA,NA,NA,NA,NA,228,446,6,1,NA,663,18,319,316,2,6,1,37,528,104,0,632,49,2019
OH-506,"Akron, Barberton/Summit County CoC",546,79,26,NA,NA,NA,NA,NA,224,322,0,0,NA,540,6,279,235,7,3,0,22,269,169,21,459,87,2019
OH-507,Ohio Balance of State CoC,3479,853,290,NA,NA,NA,NA,NA,1597,1880,2,0,NA,3339,140,2714,592,5,15,7,146,1985,672,8,2665,814,2019
OH-508,"Canton, Massillon, Alliance/Stark County CoC",273,98,13,NA,NA,NA,NA,NA,150,123,0,0,NA,265,8,153,78,1,1,0,40,243,13,0,256,17,2019
OK-500,North Central Oklahoma CoC,178,44,35,NA,NA,NA,NA,NA,86,92,0,0,NA,166,12,127,11,0,23,6,11,146,25,0,171,7,2019
OK-501,Tulsa City & County CoC,1188,154,126,NA,NA,NA,NA,NA,389,793,2,4,NA,1103,85,630,266,6,185,0,101,659,225,8,892,296,2019
OK-502,Oklahoma City CoC,1273,131,90,NA,NA,NA,NA,NA,387,877,5,4,NA,1162,111,742,345,5,100,1,80,738,151,0,889,384,2019
OK-503,Oklahoma Balance of State CoC,279,34,22,NA,NA,NA,NA,NA,122,157,0,0,NA,264,15,204,26,1,37,6,5,104,9,0,113,166,2019
OK-504,Norman/Cleveland County CoC,347,26,12,NA,NA,NA,NA,NA,103,244,0,0,NA,340,7,297,18,1,15,2,14,75,57,0,132,215,2019
OK-505,Northeast Oklahoma CoC,228,52,12,NA,NA,NA,NA,NA,86,142,0,0,NA,211,17,145,12,2,56,1,12,123,34,0,157,71,2019
OK-506,Southwest Oklahoma Regional CoC,158,39,4,NA,NA,NA,NA,NA,50,108,0,0,NA,149,9,90,44,0,21,3,0,114,22,0,136,22,2019
OK-507,Southeastern Oklahoma Regional CoC,293,69,26,NA,NA,NA,NA,NA,128,165,0,0,NA,275,18,193,30,0,45,0,25,217,0,0,217,76,2019
OR-500,"Eugene, Springfield/Lane County CoC",2165,166,131,NA,NA,NA,NA,NA,640,1513,8,4,NA,2000,165,1793,78,6,56,22,210,426,106,0,532,1633,2019
OR-501,"Portland, Gresham/Multnomah County CoC",4015,195,285,NA,NA,NA,NA,NA,1399,2531,42,43,NA,3633,382,2704,568,47,257,64,375,1459,519,0,1978,2037,2019
OR-502,"Medford, Ashland/Jackson County CoC",712,71,55,NA,NA,NA,NA,NA,236,473,2,1,NA,625,87,596,21,1,36,13,45,135,213,0,348,364,2019
OR-503,Central Oregon CoC,880,147,76,NA,NA,NA,NA,NA,369,506,2,3,NA,834,46,750,13,0,94,3,20,227,39,0,266,614,2019
OR-505,Oregon Balance of State CoC,7103,1932,497,NA,NA,NA,NA,NA,3202,3879,15,7,NA,6348,755,6228,137,22,294,63,359,1099,965,0,2064,5039,2019
OR-506,"Hillsboro, Beaverton/Washington County CoC",530,81,37,NA,NA,NA,NA,NA,167,352,8,3,NA,462,68,402,54,1,14,26,33,186,105,7,298,232,2019
OR-507,Clackamas County CoC,471,53,35,NA,NA,NA,NA,NA,174,297,0,0,NA,407,64,366,25,5,26,4,45,216,32,0,248,223,2019
PA-500,Philadelphia CoC,5735,1286,448,NA,NA,NA,NA,NA,2214,3481,27,13,NA,5208,527,1251,4305,30,20,29,100,3565,950,247,4762,973,2019
PA-501,Harrisburg/Dauphin County CoC,418,85,50,NA,NA,NA,NA,NA,141,277,0,0,NA,354,64,154,241,1,1,0,21,265,83,22,370,48,2019
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",400,125,19,NA,NA,NA,NA,NA,188,212,0,0,NA,371,29,97,281,2,1,1,18,282,70,0,352,48,2019
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",164,43,21,NA,NA,NA,NA,NA,89,75,0,0,NA,143,21,102,56,0,0,0,6,75,82,0,157,7,2019
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",246,82,13,NA,NA,NA,NA,NA,138,108,0,0,NA,235,11,82,147,3,1,0,13,184,43,0,227,19,2019
PA-505,Chester County CoC,528,95,15,NA,NA,NA,NA,NA,156,372,0,0,NA,480,48,288,230,0,2,1,7,209,299,0,508,20,2019
PA-506,Reading/Berks County CoC,597,91,45,NA,NA,NA,NA,NA,217,375,0,5,NA,395,202,366,196,0,1,0,34,330,257,0,587,10,2019
PA-508,Scranton/Lackawanna County CoC,186,24,27,NA,NA,NA,NA,NA,66,119,1,0,NA,153,33,143,32,0,0,0,11,101,65,11,177,9,2019
PA-509,Eastern Pennsylvania CoC,1843,467,198,NA,NA,NA,NA,NA,827,1016,0,0,NA,1515,328,1364,390,6,10,7,66,1061,445,0,1506,337,2019
PA-510,Lancaster City & County CoC,422,117,37,NA,NA,NA,NA,NA,192,230,0,0,NA,296,126,261,119,1,5,0,36,264,146,0,410,12,2019
PA-511,"Bristol, Bensalem/Bucks County CoC",359,124,26,NA,NA,NA,NA,NA,198,159,2,0,NA,314,45,239,97,2,5,1,15,155,183,0,338,21,2019
PA-512,York City & County CoC,321,94,24,NA,NA,NA,NA,NA,142,179,0,0,NA,266,55,183,98,0,0,4,36,186,103,0,289,32,2019
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",774,112,75,NA,NA,NA,NA,NA,287,485,2,0,NA,746,28,320,370,8,2,5,69,568,151,7,726,48,2019
PA-601,Western Pennsylvania CoC,727,160,54,NA,NA,NA,NA,NA,332,395,0,0,NA,718,9,608,100,2,3,1,13,472,221,0,693,34,2019
PA-603,Beaver County CoC,123,49,4,NA,NA,NA,NA,NA,59,64,0,0,NA,116,7,68,46,0,1,1,7,90,27,0,117,6,2019
PA-605,Erie City & County CoC,356,66,23,NA,NA,NA,NA,NA,127,229,0,0,NA,337,19,185,143,0,1,0,27,246,96,8,350,6,2019
PR-502,Puerto Rico Balance of Commonwealth CoC,1345,84,54,NA,NA,NA,NA,NA,310,1032,2,1,NA,39,1306,552,238,3,14,2,536,154,271,12,437,908,2019
PR-503,South-Southeast Puerto Rico CoC,1190,26,31,NA,NA,NA,NA,NA,223,958,9,0,NA,19,1171,528,224,1,5,2,430,146,50,2,198,992,2019
RI-500,Rhode Island Statewide CoC,1055,197,39,NA,NA,NA,NA,NA,358,690,7,0,NA,799,256,655,309,8,17,4,62,743,241,0,984,71,2019
SC-500,Charleston/Low Country CoC,403,31,12,NA,NA,NA,NA,NA,115,287,1,0,NA,380,23,124,246,2,3,3,25,189,82,4,275,128,2019
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1401,192,74,NA,NA,NA,NA,NA,512,888,0,1,NA,1356,45,711,613,4,11,3,59,745,139,11,895,506,2019
SC-502,Columbia/Midlands CoC,1215,142,95,NA,NA,NA,NA,NA,416,796,1,2,NA,1185,30,356,815,5,12,2,25,619,304,0,923,292,2019
SC-503,"Myrtle Beach, Sumter City & County CoC",1153,155,82,NA,NA,NA,NA,NA,477,676,0,0,NA,1131,22,602,486,3,10,2,50,267,95,0,362,791,2019
SD-500,South Dakota Statewide CoC,995,188,72,NA,NA,NA,NA,NA,389,605,1,0,NA,945,50,285,75,3,609,0,23,681,80,0,761,234,2019
TN-500,Chattanooga/Southeast Tennessee CoC,463,60,27,NA,NA,NA,NA,NA,154,308,0,1,NA,443,20,290,136,2,8,1,26,274,8,0,282,181,2019
TN-501,Memphis/Shelby County CoC,1325,365,63,NA,NA,NA,NA,NA,550,771,4,0,NA,1303,22,269,1032,3,3,0,18,501,766,0,1267,58,2019
TN-502,Knoxville/Knox County CoC,800,53,60,NA,NA,NA,NA,NA,347,452,1,0,NA,772,28,580,185,0,9,0,26,393,212,0,605,195,2019
TN-503,Central Tennessee CoC,357,62,20,NA,NA,NA,NA,NA,135,222,0,0,NA,346,11,194,158,0,0,1,4,214,96,0,310,47,2019
TN-504,Nashville-Davidson County CoC,1986,124,86,NA,NA,NA,NA,NA,487,1496,3,0,NA,1918,68,993,890,14,31,6,52,1139,259,3,1401,585,2019
TN-506,Upper Cumberland CoC,273,43,24,NA,NA,NA,NA,NA,118,154,1,0,NA,264,9,237,19,1,2,6,8,167,41,0,208,65,2019
TN-507,Jackson/West Tennessee CoC,959,256,62,NA,NA,NA,NA,NA,492,467,0,0,NA,959,0,578,310,0,0,0,71,65,35,8,108,851,2019
TN-509,Appalachian Regional CoC,405,64,20,NA,NA,NA,NA,NA,144,261,0,0,NA,383,22,371,32,0,2,0,0,180,76,0,256,149,2019
TN-510,Murfreesboro/Rutherford County CoC,384,36,19,NA,NA,NA,NA,NA,158,226,0,0,NA,372,12,283,94,0,0,1,6,139,83,0,222,162,2019
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",515,107,40,NA,NA,NA,NA,NA,238,275,1,1,NA,505,10,473,30,2,1,1,8,168,42,0,210,305,2019
TX-500,San Antonio/Bexar County CoC,2872,523,128,NA,NA,NA,NA,NA,1049,1813,10,0,NA,1561,1311,2105,632,16,25,9,85,1364,321,0,1685,1187,2019
TX-503,Austin/Travis County CoC,2255,376,107,NA,NA,NA,NA,NA,755,1490,5,5,NA,1586,669,1334,776,11,35,6,93,849,307,13,1169,1086,2019
TX-600,"Dallas City & County, Irving CoC",4538,732,232,NA,NA,NA,NA,NA,1531,2999,8,0,NA,3870,668,1641,2597,76,45,21,158,2044,993,49,3086,1452,2019
TX-601,"Fort Worth, Arlington/Tarrant County CoC",2028,286,83,NA,NA,NA,NA,NA,723,1299,6,0,NA,1758,270,1008,975,22,19,4,0,1263,185,20,1468,560,2019
TX-603,El Paso City & County CoC,809,187,68,NA,NA,NA,NA,NA,266,543,0,0,NA,239,570,713,65,4,7,1,19,422,204,0,626,183,2019
TX-604,Waco/McLennan County CoC,193,35,17,NA,NA,NA,NA,NA,72,121,0,0,NA,155,38,103,76,0,0,1,13,75,49,0,124,69,2019
TX-607,Texas Balance of State CoC,8072,1308,555,NA,NA,NA,NA,NA,3095,4941,24,12,NA,5357,2715,5682,2059,36,71,17,207,2684,732,0,3416,4656,2019
TX-611,Amarillo CoC,777,116,41,NA,NA,NA,NA,NA,285,491,1,0,NA,545,232,540,184,8,9,0,36,306,140,0,446,331,2019
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",243,30,5,NA,NA,NA,NA,NA,88,155,0,0,NA,234,9,191,43,1,2,0,6,179,1,0,180,63,2019
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",3938,634,280,NA,NA,NA,NA,NA,1492,2435,11,0,NA,3470,468,1608,2157,25,29,18,101,1662,623,39,2324,1614,2019
TX-701,"Bryan, College Station/Brazos Valley CoC",123,22,7,NA,NA,NA,NA,NA,48,74,1,0,NA,109,14,59,58,3,3,0,0,102,0,0,102,21,2019
UT-500,Salt Lake City & County CoC,1844,327,132,NA,NA,NA,NA,NA,668,1161,10,5,NA,1418,426,1349,203,37,97,65,93,1418,233,0,1651,193,2019
UT-503,Utah Balance of State CoC,793,210,44,NA,NA,NA,NA,NA,366,425,2,0,NA,635,158,669,68,4,24,11,17,506,136,0,642,151,2019
UT-504,Provo/Mountainland CoC,161,28,14,NA,NA,NA,NA,NA,74,87,0,0,NA,137,24,141,5,0,10,1,4,47,50,0,97,64,2019
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",497,68,20,NA,NA,NA,NA,NA,160,335,1,1,NA,460,37,133,340,2,2,1,19,255,49,23,327,170,2019
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",700,131,47,NA,NA,NA,NA,NA,238,459,3,0,NA,671,29,155,511,8,4,0,22,543,71,0,614,86,2019
VA-502,"Roanoke City & County, Salem CoC",319,47,16,NA,NA,NA,NA,NA,122,197,0,0,NA,308,11,170,128,1,1,0,19,304,0,0,304,15,2019
VA-503,Virginia Beach CoC,260,54,16,NA,NA,NA,NA,NA,106,153,0,1,NA,242,18,109,129,0,3,4,15,155,51,0,206,54,2019
VA-504,Charlottesville CoC,165,15,10,NA,NA,NA,NA,NA,46,119,0,0,NA,153,12,87,62,1,3,0,12,125,14,0,139,26,2019
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",427,79,19,NA,NA,NA,NA,NA,145,281,1,0,NA,414,13,108,289,1,1,2,26,312,63,0,375,52,2019
VA-507,Portsmouth CoC,119,25,3,NA,NA,NA,NA,NA,41,78,0,0,NA,116,3,15,103,0,0,0,1,84,24,0,108,11,2019
VA-508,Lynchburg CoC,78,16,5,NA,NA,NA,NA,NA,32,46,0,0,NA,76,2,45,24,0,2,0,7,64,0,0,64,14,2019
VA-513,"Harrisburg, Winchester/Western Virginia CoC",342,66,14,NA,NA,NA,NA,NA,130,212,0,0,NA,298,44,241,59,5,5,0,32,300,14,0,314,28,2019
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",221,60,16,NA,NA,NA,NA,NA,92,129,0,0,NA,200,21,94,90,1,2,0,34,185,0,0,185,36,2019
VA-521,Virginia Balance of State CoC,761,246,46,NA,NA,NA,NA,NA,399,359,2,1,NA,718,43,409,287,6,8,1,50,531,106,0,637,124,2019
VA-600,Arlington County CoC,215,38,12,NA,NA,NA,NA,NA,83,132,0,0,NA,183,32,84,121,3,0,0,7,162,17,0,179,36,2019
VA-601,Fairfax County CoC,1034,330,88,NA,NA,NA,NA,NA,450,582,1,1,NA,919,115,315,610,55,7,3,44,774,171,0,945,89,2019
VA-602,Loudoun County CoC,167,22,31,NA,NA,NA,NA,NA,66,101,0,0,NA,151,16,91,62,7,0,0,7,70,26,0,96,71,2019
VA-603,Alexandria CoC,198,46,12,NA,NA,NA,NA,NA,82,116,0,0,NA,171,27,65,126,2,0,0,5,143,34,11,188,10,2019
