CoC Number,CoC Name,Overall.Total,Children & Youth Under 18,Youth 18 to 24,Youth & People 25 to 34,People 35 to 44,People 45 to 54,People 55 to 64,People Over 64,Women,Men,Transgender,Nonbinary,Gender Questioning,Non-Latino & Non-Hispanic,Latino,White,Black,Asian,Indigenous,Native Hawiian or Pacific Islander,Multiracial,Emergency Shelter,Transitional Housing Shelter,Safe Haven,In Shelter,Unsheltered,Year
CA-607,Pasadena CoC,556,41,39,90,96,100,112,78,156,391,7,2,0,345,211,317,183,7,23,1,25,211,42,0,253,303,2023
CA-608,Riverside City & County CoC,3725,319,237,740,854,708,652,215,1244,2458,4,14,5,2256,1469,2546,657,54,114,50,304,1015,269,0,1284,2441,2023
CA-609,San Bernardino City & County CoC,4195,336,250,846,955,821,707,280,1480,2693,5,17,0,2566,1629,2294,1050,45,149,41,616,772,447,0,1219,2976,2023
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",2441,141,100,390,513,509,498,290,796,1635,8,2,0,1275,1166,1969,188,9,57,57,161,634,167,7,808,1633,2023
CA-612,Glendale CoC,195,48,10,23,30,27,26,31,75,118,1,0,1,109,86,130,39,3,9,2,12,54,52,0,106,89,2023
CA-613,Imperial County CoC,1303,44,52,143,300,369,219,176,385,880,11,27,0,923,380,1122,25,3,36,4,113,100,57,0,157,1146,2023
CA-614,San Luis Obispo County CoC,1532,246,90,62,51,49,53,30,682,829,0,21,0,1031,501,1282,61,14,80,17,78,357,19,0,376,1156,2023
CO-500,Colorado Balance of State CoC,2201,203,120,394,495,460,380,149,758,1416,16,9,2,1577,624,1660,90,8,217,10,216,553,306,0,859,1342,2023
CO-503,Metropolitan Denver CoC,10054,1726,507,1737,2114,1943,1519,508,3769,6161,62,61,1,7486,2568,6381,2072,114,497,353,637,5774,1471,46,7291,2763,2023
CO-504,Colorado Springs/El Paso County CoC,1302,240,103,196,241,235,214,73,478,806,9,9,0,1018,284,897,227,5,64,10,99,555,373,0,928,374,2023
CO-505,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",882,122,41,153,193,166,151,56,319,552,5,6,0,590,292,717,42,8,51,29,35,514,102,0,616,266,2023
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",597,129,46,91,98,96,102,35,237,359,0,1,0,395,202,272,285,2,5,1,32,432,98,0,530,67,2023
CT-505,Connecticut Balance of State CoC,2418,454,190,378,430,393,431,142,953,1452,9,4,0,1688,730,1381,832,12,33,6,154,1721,247,16,1984,434,2023
DC-500,District of Columbia CoC,4922,715,521,835,785,740,923,403,1698,3159,39,21,5,4439,483,587,4091,40,73,52,79,3029,1060,8,4097,825,2023
DE-500,Delaware Statewide CoC,1245,335,66,195,189,193,211,56,551,687,3,1,3,1138,107,385,773,4,3,2,78,827,220,0,1047,198,2023
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1150,114,46,170,244,213,239,124,403,745,1,1,0,1053,97,883,238,4,1,0,24,393,237,0,630,520,2023
FL-501,Tampa/Hillsborough County CoC,2040,394,78,294,331,497,290,156,715,1308,3,9,5,1695,345,878,1004,9,32,22,95,846,59,0,905,1135,2023
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2144,344,75,259,341,387,519,219,760,1374,7,3,0,1981,163,1186,844,12,21,8,73,1186,254,58,1498,646,2023
FL-503,"Lakeland, Winterhaven/Polk County CoC",776,132,50,81,205,152,83,73,364,412,0,0,0,504,272,437,306,0,2,3,28,307,297,0,604,172,2023
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",1053,198,53,155,203,156,183,105,414,637,0,2,0,948,105,663,254,58,31,1,46,264,186,20,470,583,2023
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",395,48,21,51,90,78,80,27,142,250,0,3,0,381,14,255,103,2,8,1,26,138,0,0,138,257,2023
FL-506,Tallahassee/Leon County CoC,801,113,47,181,116,139,148,57,297,500,2,1,1,753,48,265,495,7,11,8,15,414,118,0,532,269,2023
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2258,511,136,326,364,379,398,144,823,1420,12,2,1,1787,471,937,1095,17,30,15,164,1127,544,0,1671,587,2023
FL-508,"Gainesville/Alachua, Putnam Counties CoC",1006,60,51,158,203,221,223,90,364,634,1,7,0,891,115,469,416,2,4,2,113,260,48,0,308,698,2023
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",925,189,36,130,176,115,171,108,374,550,1,0,0,843,82,640,214,3,15,2,51,140,45,0,185,740,2023
FL-510,"Jacksonville-Duval, Clay Counties CoC",1247,191,103,161,284,222,215,71,469,764,4,9,1,1171,76,441,745,12,22,3,24,462,389,0,851,396,2023
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",1180,88,45,141,245,247,285,129,338,830,5,7,0,1126,54,698,431,5,11,14,21,183,255,0,438,742,2023
FL-512,St. Johns County CoC,435,26,22,112,121,82,44,28,174,259,0,0,2,412,23,337,77,4,5,1,11,101,51,0,152,283,2023
FL-513,"Palm Bay, Melbourne/Brevard County CoC",1052,148,46,127,204,224,205,98,407,639,1,3,2,959,93,705,274,7,26,5,35,87,281,19,387,665,2023
FL-514,Ocala/Marion County CoC,454,74,20,73,82,91,80,34,201,252,0,0,1,389,65,253,147,4,11,1,38,130,104,0,234,220,2023
FL-515,"Panama City/Bay, Jackson Counties CoC",517,70,29,74,89,117,102,36,192,322,2,1,0,478,39,369,125,2,10,1,10,51,72,0,123,394,2023
FL-517,"Hendry, Hardee, Highlands Counties CoC",1016,237,44,187,152,122,164,110,620,396,0,0,0,502,514,703,308,1,3,1,0,120,0,0,120,896,2023
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",494,102,30,175,46,70,42,29,196,292,0,0,6,478,16,275,196,2,2,3,16,71,25,0,96,398,2023
FL-519,Pasco County CoC,680,88,23,107,161,172,90,39,300,379,0,1,0,629,51,563,92,2,5,0,18,75,184,0,259,421,2023
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",649,110,36,94,120,123,126,40,275,370,1,3,0,585,64,540,93,1,2,1,12,139,184,0,323,326,2023
FL-600,Miami-Dade County CoC,3657,775,187,487,539,556,612,501,1367,2263,14,9,4,2081,1576,1667,1873,13,13,5,86,2283,303,13,2599,1058,2023
FL-601,Ft Lauderdale/Broward County CoC,2487,257,102,381,416,446,616,269,857,1617,2,10,1,2198,289,860,1579,4,14,6,24,644,187,32,863,1624,2023
FL-602,Punta Gorda/Charlotte County CoC,427,58,11,55,77,78,93,55,158,268,1,0,0,377,50,357,62,0,3,1,4,170,23,0,193,234,2023
FL-603,"Ft Myers, Cape Coral/Lee County CoC",862,118,44,129,147,190,165,69,292,570,0,0,0,727,135,556,266,2,8,1,29,264,0,0,264,598,2023
FL-604,Monroe County CoC,493,24,12,445,0,0,0,12,84,409,0,0,0,407,86,412,62,1,3,1,14,193,90,0,283,210,2023
FL-605,West Palm Beach/Palm Beach County CoC,1855,254,138,246,296,304,414,203,626,1226,2,0,1,1623,232,699,1093,9,19,8,27,563,123,0,686,1169,2023
FL-606,Naples/Collier County CoC,703,74,33,102,129,111,221,33,424,267,9,3,0,564,139,531,103,3,18,3,45,232,230,0,462,241,2023
GA-500,Atlanta CoC,2679,290,178,376,451,486,686,212,759,1887,0,7,26,2571,108,342,2214,12,15,8,88,1333,608,0,1941,738,2023
GA-501,Georgia Balance of State CoC,6388,1242,328,398,430,238,186,69,2798,3559,7,17,7,5921,467,3398,2736,18,24,10,202,1520,949,0,2469,3919,2023
GA-502,Fulton County CoC,337,79,31,54,68,45,47,13,159,176,0,2,0,309,28,43,289,0,1,0,4,104,105,0,209,128,2023
GA-503,Athens-Clarke County CoC,353,71,21,47,68,61,65,20,156,193,1,3,0,337,16,135,198,1,1,0,18,121,55,0,176,177,2023
GA-504,Augusta-Richmond County CoC,643,328,10,116,60,44,53,32,277,364,0,2,0,634,9,75,518,1,2,0,47,466,0,0,466,177,2023
GA-505,Columbus-Muscogee CoC,274,34,9,56,56,43,52,24,122,152,0,0,0,270,4,116,148,3,0,0,7,180,25,0,205,69,2023
GA-506,Marietta/Cobb County CoC,437,120,15,69,61,37,20,2,206,230,1,0,0,421,16,124,295,0,4,0,14,219,96,0,315,122,2023
GA-507,Savannah/Chatham County CoC,745,75,28,131,163,137,149,62,241,501,1,1,1,724,21,328,381,4,11,2,19,275,199,0,474,271,2023
GA-508,DeKalb County CoC,438,110,22,46,62,89,105,4,209,229,0,0,0,425,13,42,386,4,0,0,6,180,31,0,211,227,2023
GU-500,Guam CoC,1075,311,94,159,170,154,113,74,479,595,0,0,1,1033,42,9,5,33,1,1005,22,169,5,0,174,901,2023
HI-500,Hawaii Balance of State CoC,2195,341,100,340,449,422,356,187,905,1287,3,0,0,1913,282,639,65,131,19,653,688,543,110,0,653,1542,2023
HI-501,Honolulu City and County CoC,4028,583,328,492,681,727,895,322,1514,2453,33,26,2,3479,549,656,181,472,31,1683,1005,1116,505,42,1663,2365,2023
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",276,36,5,58,85,75,14,3,98,174,3,1,0,229,47,164,48,3,39,1,21,245,12,0,257,19,2023
IA-501,Iowa Balance of State CoC,1733,399,135,342,340,268,212,37,715,1005,7,6,0,1592,141,1093,459,18,37,11,115,1035,381,9,1425,308,2023
IA-502,Des Moines/Polk County CoC,644,81,40,107,154,132,109,21,218,419,5,2,0,586,58,430,157,7,10,6,34,377,126,12,515,129,2023
ID-500,Boise/Ada County CoC,687,50,51,106,138,125,162,55,192,489,3,3,0,616,71,607,29,5,21,4,21,469,103,0,572,115,2023
ID-501,Idaho Balance of State CoC,1611,411,82,194,478,180,179,87,799,809,2,1,0,1198,413,1295,21,3,139,17,136,536,132,0,668,943,2023
IL-500,McHenry County CoC,125,28,7,9,26,29,19,7,49,74,0,2,0,110,15,100,17,1,1,0,6,36,54,0,90,35,2023
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",445,92,39,84,71,63,74,22,216,227,1,1,0,397,48,199,226,4,1,0,15,269,110,0,379,66,2023
IL-502,"Waukegan, North Chicago/Lake County CoC",467,187,39,81,61,46,39,14,267,199,1,0,0,379,88,141,295,2,2,0,27,346,91,0,437,30,2023
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",215,49,29,36,35,39,20,7,79,134,2,0,0,192,23,79,133,0,0,0,3,170,36,0,206,9,2023
IL-504,Madison County CoC,88,23,2,24,19,13,6,1,41,47,0,0,0,88,0,49,33,0,4,2,0,45,11,0,56,32,2023
IL-506,"Joliet, Bolingbrook/Will County CoC",343,55,24,65,94,53,44,8,123,217,0,2,1,304,39,134,110,63,34,0,2,131,104,10,245,98,2023
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",420,50,25,96,83,68,72,26,199,220,1,0,0,388,32,250,148,4,4,0,14,360,18,3,381,39,2023
IL-508,"East St. Louis, Belleville/St. Clair County CoC",264,65,19,45,45,40,36,14,114,150,0,0,0,262,2,62,190,0,1,0,11,162,93,0,255,9,2023
IL-510,Chicago CoC,6139,1002,792,1504,1449,446,691,255,1906,4187,32,13,1,3419,2720,2793,2984,87,62,50,163,4152,962,35,5149,990,2023
IL-511,Cook County CoC,1056,345,111,165,135,141,104,55,534,512,6,4,0,850,206,360,610,10,11,4,61,736,235,13,984,72,2023
IL-512,Bloomington/Central Illinois CoC,256,67,32,38,32,30,24,11,121,130,3,2,0,228,28,133,116,0,0,1,6,171,63,0,234,22,2023
IL-513,Springfield/Sangamon County CoC,306,59,26,53,45,50,53,20,125,180,1,0,0,286,20,140,139,1,4,1,21,165,121,0,286,20,2023
IL-514,DuPage County CoC,525,182,93,62,65,48,59,16,246,262,6,7,4,390,135,233,247,10,4,0,31,370,122,0,492,33,2023
IL-515,South Central Illinois CoC,170,38,18,34,35,25,15,5,89,81,0,0,0,168,2,159,8,0,0,0,3,88,31,0,119,51,2023
IL-516,Decatur/Macon County CoC,110,16,7,23,26,17,18,3,38,71,1,0,0,105,5,51,52,0,2,0,5,80,8,0,88,22,2023
IL-517,"Aurora, Elgin/Kane County CoC",461,81,32,70,79,81,77,41,163,294,3,1,0,269,192,278,129,5,10,0,39,399,11,0,410,51,2023
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",232,24,26,44,47,47,42,2,106,126,0,0,0,218,14,161,58,9,2,0,2,187,22,0,209,23,2023
IL-519,West Central Illinois CoC,95,22,7,22,26,10,7,1,51,44,0,0,0,89,6,62,22,0,0,3,8,59,34,0,93,2,2023
IL-520,Southern Illinois CoC,230,41,19,35,41,51,39,4,117,111,1,1,0,221,9,151,66,1,1,1,10,180,35,0,215,15,2023
IN-502,Indiana Balance of State CoC,4398,923,238,709,848,789,704,187,1924,2441,13,18,2,4177,221,3018,1113,19,20,30,198,2813,756,25,3594,804,2023
IN-503,Indianapolis CoC,1619,274,109,266,286,284,305,95,586,1019,2,6,6,1551,68,666,849,8,19,6,71,1036,226,0,1262,357,2023
